JOINT,MEMBER,GRUP,TOP,TOP-LEFT,LEFT,BOT-LEFT,BOT,BOT-RIGHT,RIGHT,TOP-RIGHT,MAX_DAMAGE,CRITICAL_LOCATION,UNIQUE_KEY
404L,0426 J491,24B,0.000172896,0.131332,0.873655,0.25948,0.0010671,0.250127,1.23441,0.320584,1.23441,RIGHT,404L_0426 J491_24B
401L,0002 J403,12A,0.116504,0.0932054,0.230672,0.613345,0.5446,0.397097,0.10182,0.0731532,0.613345,BOT-LEFT,401L_0002 J403_12A
402L,0077 J411,24B,0.37082,0.14262,0.00338668,0.10099,0.415522,0.163792,0.00241275,0.092406,0.415522,BOT,402L_0077 J411_24B
406L,0139 J455,24B,0.402338,0.112739,0.000941699,0.125141,0.406787,0.157317,0.0103636,0.136144,0.406787,BOT,406L_0139 J455_24B
402L,0077 J409,12A,0.203274,0.0852157,0.0535122,0.253233,0.361651,0.205852,0.0623676,0.126315,0.361651,BOT,402L_0077 J409_12A
405L,0086 J464,24B,0.314963,0.212375,0.0158643,0.0510137,0.273908,0.150803,0.00196444,0.0412415,0.314963,TOP,405L_0086 J464_24B
406L,0139 J457,12A,0.310848,0.251288,0.094592,0.196304,0.303063,0.195586,0.0433903,0.130146,0.310848,TOP,406L_0139 J457_12A
405L,0086 J463,12A,0.20973,0.114508,0.0461989,0.169817,0.308498,0.277553,0.104246,0.129063,0.308498,BOT,405L_0086 J463_12A
403L,0080 J493,24I,0.000515033,0.0433013,0.203939,0.0485049,0.000616539,0.0686457,0.260172,0.0502331,0.260172,RIGHT,403L_0080 J493_24I
401L,0002 J402,24B,0.259903,0.0214817,0.00319389,0.182657,0.25642,0.0334442,0.0179675,0.244369,0.259903,TOP,401L_0002 J402_24B
407L,0126 J473,24B,0.000133898,0.0498925,0.255903,0.0691749,0.000751928,0.0429192,0.155808,0.0303117,0.255903,LEFT,407L_0126 J473_24B
403L,0587 J492,18B,0.00617097,0.0536159,0.140174,0.0256626,0.000440589,0.0185955,0.0969465,0.0491023,0.140174,LEFT,403L_0587 J492_18B
402L,0077 J467,18A,0.0119516,0.0280813,0.0898719,0.0691047,0.0176075,0.0315953,0.0453709,0.0259142,0.0898719,LEFT,402L_0077 J467_18A
402L,0575 403L,18A,0.003204,0.0296156,0.0524596,0.00595155,9.61706e-05,0.0104277,0.0865135,0.041569,0.0865135,RIGHT,402L_0575 403L_18A
407L,0126 406L,18A,0.00110008,0.00441358,0.0324273,0.0143221,0.00403755,0.0376128,0.0770402,0.021404,0.0770402,RIGHT,407L_0126 406L_18A
406L,0139 407L,18A,0.000169512,0.00967757,0.0740749,0.0371416,0.00302032,0.0340063,0.0664543,0.00843482,0.0740749,LEFT,406L_0139 407L_18A
0104,107L J133,14A,3.89589e-08,6.50791e-05,0.000272658,3.19891e-05,2.62613e-07,0.0159192,0.0724022,0.013748,0.0724022,RIGHT,0104_107L J133_14A
403L,0587 402L,18A,0.00430801,0.0163724,0.0352864,0.00422287,0.000494724,0.017027,0.0713991,0.0363544,0.0713991,RIGHT,403L_0587 402L_18A
307L,0288 308L,24B,0.000369626,0.00480623,0.0300545,0.0205898,0.00882171,0.0465349,0.0709051,0.0112761,0.0709051,RIGHT,307L_0288 308L_24B
407L,0126 J466,18A,0.00179272,0.0139195,0.0332287,0.012241,0.00285684,0.0332177,0.0612902,0.00992794,0.0612902,RIGHT,407L_0126 J466_18A
0110,0110 J576,24B,0.00131565,0.0165427,0.035197,0.00480634,4.78383e-06,0.0079761,0.0605891,0.0247755,0.0605891,RIGHT,0110_0110 J576_24B
0019,0019 J111,30F,0.00071022,0.000405268,0.000372472,4.62314e-05,2.78881e-05,0.0101981,0.0576095,0.0238159,0.0576095,RIGHT,0019_0019 J111_30F
407L,0126 408L,18B,0.000662735,0.0107122,0.0557238,0.0336948,0.00810697,0.0355229,0.0543746,0.0106963,0.0557238,LEFT,407L_0126 408L_18B
404L,0426 J492,18B,0.000821447,0.010732,0.0513544,0.0206105,0.00464874,0.0176956,0.0332225,0.00924989,0.0513544,LEFT,404L_0426 J492_18B
301L,201L 301L,51C,0.0211568,0.0336426,0.0506491,0.0440296,0.0324213,0.034267,0.0342332,0.0253442,0.0506491,LEFT,301L_201L 301L_51C
201L,0023 201L,51G,0.0173649,0.0318269,0.0490006,0.0353707,0.0208155,0.0257172,0.0317275,0.022594,0.0490006,LEFT,201L_0023 201L_51G
408L,0431 407L,18B,0.00147952,0.0103462,0.0479464,0.0188554,0.0043692,0.0162329,0.0264588,0.0100979,0.0479464,LEFT,408L_0431 407L_18B
401L,301L 302L,24B,0.00698141,0.0091017,0.0121757,0.0051463,0.00262136,0.0156254,0.046422,0.0277102,0.046422,RIGHT,401L_301L 302L_24B
0105,103L J102,14A,7.63207e-08,0.00873825,0.0450782,0.0109081,5.68307e-07,5.65405e-05,0.000607127,0.000161806,0.0450782,LEFT,0105_103L J102_14A
206L,0053,206L,0.0190553,0.0296709,0.0435157,0.0329072,0.0225665,0.0332719,0.0442469,0.0299743,0.0442469,RIGHT,206L_0053_206L
408L,308L 307L,24B,0.00323703,0.00245257,0.00627635,0.00469589,0.00263108,0.0124703,0.0410271,0.0232638,0.0410271,RIGHT,408L_308L 307L_24B
407P,407P-507P,PI5,0.000374611,0.00752863,0.0408306,0.0178794,0.00104164,0.00787983,0.0238449,0.00610415,0.0408306,LEFT,407P_407P-507P_PI5
401L,0002 J400,18B,0.00994757,0.00846565,0.00340946,0.00647885,0.034846,0.039486,0.00864709,0.00326536,0.039486,BOT-RIGHT,401L_0002 J400_18B
401L,301L 401L,51A,0.0118658,0.023137,0.039225,0.0269025,0.014551,0.0198263,0.0262903,0.0178522,0.039225,LEFT,401L_301L 401L_51A
501L,0002 501L,52A,0.00222356,0.0178177,0.0380824,0.00814649,0.000908627,0.0100887,0.0322079,0.0125275,0.0380824,LEFT,501L_0002 501L_52A
405L,305L 405L,51A,0.0121868,0.0240779,0.0374553,0.0243185,0.0129027,0.0189352,0.0270438,0.017767,0.0374553,LEFT,405L_305L 405L_51A
205L,0054 205L,51G,0.015281,0.01998,0.0279537,0.0238282,0.0196815,0.0292866,0.0372753,0.0254301,0.0372753,RIGHT,205L_0054 205L_51G
305L,205L 305L,51C,0.0192074,0.0256141,0.0357279,0.0346072,0.0298565,0.0342436,0.0363863,0.0260747,0.0363863,RIGHT,305L_205L 305L_51C
303L,0586 304L,24B,0.00398174,0.00670582,0.0103831,0.00195284,0.000207046,0.00587198,0.0353432,0.0234763,0.0353432,RIGHT,303L_0586 304L_24B
306L,0326 306L,B32,0.0128261,0.0227297,0.0352701,0.0245095,0.0153906,0.0235195,0.0320313,0.020812,0.0352701,LEFT,306L_0326 306L_B32
305L,305L 405L,51A,0.00918271,0.00309614,0.00181875,0.00213011,0.00685603,0.0217593,0.0338592,0.0244619,0.0338592,RIGHT,305L_305L 405L_51A
505L,A068 505L,52A,0.00240674,0.00679303,0.0131931,0.00475716,0.000841414,0.00710581,0.0319875,0.0161935,0.0319875,RIGHT,505L_A068 505L_52A
308L,408L 307L,24B,0.00799177,0.00292647,0.00306711,0.0015843,0.00252666,0.0131352,0.0302898,0.0245402,0.0302898,RIGHT,308L_408L 307L_24B
0075,0098 J140,14A,0.00265008,0.0142398,0.0283986,0.00701884,0.000242453,0.0034108,0.0137279,0.00758548,0.0283986,LEFT,0075_0098 J140_14A
405L,305L 306L,24B,0.0110962,0.0202037,0.0283407,0.0104297,0.001749,0.00542117,0.0237918,0.0228499,0.0283407,LEFT,405L_305L 306L_24B
301L,301L 401L,51A,0.00633105,0.0181154,0.0277267,0.0199108,0.00663311,0.00163131,0.00103531,0.00178028,0.0277267,LEFT,301L_301L 401L_51A
208L,0039 208L,51G,0.014499,0.0128548,0.0112675,0.00534,0.00338302,0.0110409,0.027702,0.026498,0.027702,RIGHT,208L_0039 208L_51G
304L,304L 404L,51A,0.00120472,0.000355905,0.000872848,0.000276778,0.000678403,0.0112667,0.0270815,0.0134027,0.0270815,RIGHT,304L_304L 404L_51A
201L,301L J262,12A,0.000415286,0.00719766,0.0269057,0.00963946,0.000799288,0.00622188,0.0172045,0.00479651,0.0269057,LEFT,201L_301L J262_12A
405L,0086 J465,18B,0.0126704,0.00371,0.00541829,0.0267469,0.0265593,0.00521761,0.00251064,0.00846348,0.0267469,BOT-LEFT,405L_0086 J465_18B
308L,308L 408L,51A,0.000997425,0.0123485,0.0267105,0.0128222,0.00101623,0.00062153,0.00142405,0.00044746,0.0267105,LEFT,308L_308L 408L_51A
402L,0575 J400,18B,0.0227339,0.0111385,0.0060122,0.00780652,0.00682995,0.00151886,0.00719892,0.0261084,0.0261084,TOP-RIGHT,402L_0575 J400_18B
0104,J162 J123,14A,0.000943357,0.00260677,0.00193271,6.75695e-05,7.70977e-07,0.00103158,0.0251179,0.0181672,0.0251179,RIGHT,0104_J162 J123_14A
406L,0143 406L,B21,0.0060525,0.0129935,0.0239739,0.0135424,0.00614295,0.013022,0.0228385,0.0136276,0.0239739,LEFT,406L_0143 406L_B21
301L,401L J302,12A,0.000484819,0.00459108,0.0237383,0.0182091,0.00501165,0.0124154,0.0144366,0.00288492,0.0237383,LEFT,301L_401L J302_12A
207L,0052,207L,0.00962733,0.0154595,0.0228689,0.0167234,0.0110667,0.0168691,0.0229361,0.0154722,0.0229361,RIGHT,207L_0052_207L
507L,0142 507L,52A,0.00124384,0.00979313,0.0224365,0.00449382,0.000166263,0.00384715,0.0167203,0.00637619,0.0224365,LEFT,507L_0142 507L_52A
406L,0139 J465,18B,0.00715494,0.00392808,0.00220361,0.00770872,0.0224152,0.0185379,0.00340636,0.00119451,0.0224152,BOT,406L_0139 J465_18B
404L,304L 303L,24B,0.00302549,0.0151761,0.0216671,0.00684532,0.00133025,0.0038644,0.00837536,0.00389823,0.0216671,LEFT,404L_304L 303L_24B
507L,0142 J578,18A,0.000264938,0.00401505,0.0101236,0.00149078,6.60612e-06,0.00258416,0.020182,0.00824206,0.020182,RIGHT,507L_0142 J578_18A
205L,205L 305L,51C,0.00513963,0.00370634,0.00454984,0.00639907,0.0117258,0.0195469,0.0200912,0.0118662,0.0200912,RIGHT,205L_205L 305L_51C
304L,404L 303L,24B,0.00490377,0.016102,0.0192435,0.00776855,0.001252,0.000790691,0.00169862,0.00168515,0.0192435,LEFT,304L_404L 303L_24B
0015,0015 J120,30F,0.000336315,0.00849539,0.0188752,0.00369231,1.46955e-05,3.26334e-05,0.000230717,0.000224798,0.0188752,LEFT,0015_0015 J120_30F
306L,0290 405L,24B,0.00201372,0.0053587,0.0128363,0.00653795,0.00308394,0.0110803,0.0188197,0.00843173,0.0188197,RIGHT,306L_0290 405L_24B
407L,0126,508L,0.00709227,0.00875642,0.0111079,0.00652592,0.00369597,0.00901055,0.0183774,0.0131028,0.0183774,RIGHT,407L_0126_508L
305L,405L J359,24B,0.0039457,0.00128636,0.000781633,0.000827422,0.00299044,0.0110778,0.018346,0.012524,0.018346,RIGHT,305L_405L J359_24B
201L,201L 301L,51C,0.00391712,0.0100202,0.0178951,0.016755,0.00879463,0.00402163,0.00256215,0.00229757,0.0178951,LEFT,201L_201L 301L_51C
307L,0325 307L,B32,0.00597654,0.00893752,0.0137894,0.0103263,0.00754745,0.0126745,0.0172623,0.0108884,0.0172623,RIGHT,307L_0325 307L_B32
301L,201L J205,24B,0.00539087,0.0095578,0.0166604,0.0155055,0.0117402,0.011883,0.0107099,0.00696286,0.0166604,LEFT,301L_201L J205_24B
207L,0052 208L,24A,0.00865404,0.0163556,0.0154942,0.00361922,0.000540999,0.00118226,0.00448637,0.00717526,0.0163556,TOP-LEFT,207L_0052 208L_24A
202L,0580 202L,51M,0.00841945,0.00970783,0.0109817,0.00756319,0.0058115,0.0102215,0.0159776,0.0127716,0.0159776,RIGHT,202L_0580 202L_51M
401L,301L J358,24B,0.00570046,0.00965421,0.0157155,0.0124979,0.00776117,0.00863791,0.00987639,0.00751962,0.0157155,LEFT,401L_301L J358_24B
507L,0142 J569,18A,7.80016e-05,0.00395888,0.0156251,0.00384896,3.89472e-05,0.00116429,0.00514133,0.00151472,0.0156251,LEFT,507L_0142 J569_18A
301L,401L J301,24B,0.00282701,0.00966628,0.0154463,0.010488,0.00304323,0.000617346,0.000410529,0.000709712,0.0154463,LEFT,301L_401L J301_24B
502L,0077 502L,52A,0.000859967,0.0048917,0.0108435,0.00239489,0.000338419,0.00421986,0.0147371,0.00622305,0.0147371,RIGHT,502L_0077 502L_52A
405L,305L J358,24B,0.00566241,0.0101527,0.0147303,0.01011,0.00607899,0.00834373,0.0109357,0.00748393,0.0147303,LEFT,405L_305L J358_24B
508L,0433 508L,52A,0.000500517,0.00483427,0.0139679,0.00334157,0.000116905,0.0031235,0.0144108,0.00515782,0.0144108,RIGHT,508L_0433 508L_52A
502L,502L 602L,52A,7.59773e-05,0.000147483,0.00382252,0.00659458,0.00243742,0.0142022,0.012329,0.000506887,0.0142022,BOT-RIGHT,502L_502L 602L_52A
403L,0080,504L,0.00624919,0.0130166,0.0130023,0.0046308,0.00338184,0.010744,0.0141246,0.00687669,0.0141246,RIGHT,403L_0080_504L
308L,208L 207L,24A,0.00463775,0.00233941,0.00214643,0.00149901,0.00168006,0.00569443,0.0138483,0.0117949,0.0138483,RIGHT,308L_208L 207L_24A
505L,505L 605L,52A,2.82794e-05,0.00236534,0.0129619,0.00509047,0.00023506,0.00165165,0.00255375,0.00027447,0.0129619,LEFT,505L_505L 605L_52A
305L,205L J205,24B,0.00486858,0.00688215,0.0112316,0.0122763,0.0112648,0.0128858,0.0128138,0.00783566,0.0128858,BOT-RIGHT,305L_205L J205_24B
0123,0123 206L,24B,4.29685e-07,0.00176667,0.0127637,0.00766666,0.000304271,3.40433e-05,0.00055825,0.000150973,0.0127637,LEFT,0123_0123 206L_24B
305L,405L J356,12A,0.000828938,0.00238127,0.00753149,0.00625822,0.00257507,0.00862086,0.012725,0.00421371,0.012725,RIGHT,305L_405L J356_12A
508L,0433,407L,0.00149542,0.0031659,0.00551367,0.00230026,0.0005918,0.00306065,0.0126019,0.00784435,0.0126019,RIGHT,508L_0433_407L
205L,305L J208,12A,0.000187643,0.00298895,0.0110841,0.00454531,0.000548048,0.00505982,0.0124372,0.00324532,0.0124372,RIGHT,205L_305L J208_12A
502L,602L J512,24B,0.000130545,0.000106046,0.00269445,0.00586971,0.00264736,0.012425,0.00894115,0.000319108,0.012425,BOT-RIGHT,502L_602L J512_24B
0099,0159 J182,18A,0.00122616,0.00193705,0.00200563,0.000326044,4.7637e-05,0.00278353,0.0122574,0.00701435,0.0122574,RIGHT,0099_0159 J182_18A
208L,308L 207L,24A,0.00799145,0.00361765,0.00148774,0.000734697,0.00101807,0.00361173,0.0094942,0.0121815,0.0121815,TOP-RIGHT,208L_308L 207L_24A
402L,0575 402L,51I,0.00721456,0.00990227,0.0111015,0.00594975,0.00325469,0.00614897,0.0118175,0.0102113,0.0118175,RIGHT,402L_0575 402L_51I
501L,501L 601L,52A,1.35619e-05,0.000316156,0.00413865,0.00281842,0.00032664,0.00557633,0.0117052,0.00163137,0.0117052,RIGHT,501L_501L 601L_52A
407L,0125 407L,B21,0.00142024,0.00562939,0.0111295,0.00522817,0.00163544,0.00276249,0.0044547,0.00227617,0.0111295,LEFT,407L_0125 407L_B21
704L,804L 604L,PE7,0.00395237,0.00146552,1.81051e-05,0.00137127,0.0110812,0.00373033,2.80477e-05,0.00045506,0.0110812,BOT,704L_804L 604L_PE7
406L,0139,505L,0.00270686,0.00456501,0.00819917,0.00479753,0.00211001,0.00605485,0.0109466,0.00560145,0.0109466,RIGHT,406L_0139_505L
208L,208L 308L,51C,0.000555005,0.00481252,0.0109298,0.00754374,0.00155289,0.000246308,0.000138971,8.85393e-05,0.0109298,LEFT,208L_208L 308L_51C
204L,0036 204L,51G,0.0029315,0.00295624,0.00382244,0.00298179,0.00291722,0.00688334,0.0109139,0.00696249,0.0109139,RIGHT,204L_0036 204L_51G
205L,305L J204,24B,0.00199233,0.00151263,0.00205801,0.0028755,0.00566215,0.0104388,0.0107327,0.00563723,0.0107327,RIGHT,205L_305L J204_24B
302L,0579 401L,24B,0.00180246,0.00553383,0.0106546,0.00492511,0.0022873,0.00635475,0.00902688,0.00413734,0.0106546,LEFT,302L_0579 401L_24B
306L,0326 J235,24B,0.00443439,0.00715303,0.0105073,0.00808807,0.00601041,0.00801071,0.00957054,0.00643545,0.0105073,LEFT,306L_0326 J235_24B
204L,304L 203L,24A,0.00622605,0.0104184,0.00836596,0.00307446,0.000727782,0.000429995,0.000845781,0.0023561,0.0104184,TOP-LEFT,204L_304L 203L_24A
203L,0586 204L,24A,0.000242227,0.00224003,0.0103908,0.00935358,0.00370387,0.00293692,0.00191942,0.000476017,0.0103908,LEFT,203L_0586 204L_24A
308L,208L 308L,51C,0.00362991,0.00707666,0.00971205,0.00657446,0.003339,0.00275446,0.00292739,0.0028116,0.00971205,LEFT,308L_208L 308L_51C
204L,204L 304L,51C,0.000554039,6.71693e-05,6.19563e-05,0.000113292,0.0010346,0.0061236,0.00970824,0.00458351,0.00970824,RIGHT,204L_204L 304L_51C
303L,0586 404L,24B,0.000634886,0.00411023,0.0096952,0.00456768,0.00122931,0.00266657,0.00384612,0.00116813,0.0096952,LEFT,303L_0586 404L_24B
201L,301L J206,24B,0.00157581,0.00486871,0.00961243,0.00898787,0.00428882,0.00179977,0.00112265,0.000922087,0.00961243,LEFT,201L_301L J206_24B
402L,0077,501L,0.00343663,0.00669032,0.00918129,0.00424617,0.00223919,0.00599844,0.00958674,0.00526064,0.00958674,RIGHT,402L_0077_501L
407L,0126,506L,0.00282053,0.00679376,0.00923464,0.00450514,0.00264732,0.0045545,0.00507215,0.00274662,0.00923464,LEFT,407L_0126_506L
505L,605L J558,24B,3.77673e-05,0.00171157,0.00908256,0.0039217,0.000293581,0.001345,0.00176908,0.000210296,0.00908256,LEFT,505L_605L J558_24B
406L,0143 J329,24B,0.00391899,0.00589061,0.0090768,0.0063127,0.00378587,0.00577141,0.00880985,0.00655177,0.0090768,LEFT,406L_0143 J329_24B
307L,0288 408L,24B,0.00330424,0.00614365,0.00902569,0.00332267,0.000851033,0.00250216,0.00770403,0.00629094,0.00902569,LEFT,307L_0288 408L_24B
501L,601L J503,24B,2.01497e-05,0.000226217,0.00306344,0.00239307,0.000345518,0.00459021,0.00886673,0.00120871,0.00886673,RIGHT,501L_601L J503_24B
403L,0080,502L,0.00302507,0.00261166,0.00439422,0.00413194,0.00303658,0.00520079,0.00873032,0.00609104,0.00873032,RIGHT,403L_0080_502L
305L,405L J360,24B,0.004913,0.00868115,0.00684706,0.00243395,0.000450069,0.000141268,0.000390891,0.00158962,0.00868115,TOP-LEFT,305L_405L J360_24B
407L,0125 306L,24A,0.00156342,0.000571716,0.000552624,0.000577925,0.000654795,0.00244479,0.00839262,0.00646416,0.00839262,RIGHT,407L_0125 306L_24A
306L,0290 J360,24B,0.00015725,0.00184733,0.00774211,0.00823762,0.00453478,0.0037214,0.00178669,0.000260437,0.00823762,BOT-LEFT,306L_0290 J360_24B
508L,508L 608L,52A,0.00139738,0.000234606,0.00302618,0.00819808,0.0019245,0.000234057,0.00178599,0.00473352,0.00819808,BOT-LEFT,508L_508L 608L_52A
508L,608L J585,24B,0.00182538,0.000215031,0.00224509,0.00801332,0.00245624,0.000237197,0.00138566,0.00486694,0.00801332,BOT-LEFT,508L_608L J585_24B
408L,308L 408L,51A,0.00222801,0.00529799,0.00782302,0.00427063,0.00183924,0.00202529,0.00263923,0.00212103,0.00782302,LEFT,408L_308L 408L_51A
304L,204L 203L,24A,0.00350905,0.00734091,0.00775911,0.00300309,0.000809496,0.000987051,0.00183463,0.00213372,0.00775911,LEFT,304L_204L 203L_24A
203L,0588 203L,51M,0.00406315,0.00488101,0.00558591,0.00367967,0.00267618,0.00482746,0.00773337,0.00617272,0.00773337,RIGHT,203L_0588 203L_51M
304L,204L 304L,51C,0.00419724,0.00410655,0.00426489,0.00334307,0.00314177,0.00522627,0.00757172,0.0062659,0.00757172,RIGHT,304L_204L 304L_51C
301L,201L 202L,24A,0.00261716,0.00338275,0.00391469,0.00161409,0.000510833,0.00202473,0.00733482,0.00596149,0.00733482,RIGHT,301L_201L 202L_24A
708L,0138 608L,PE7,0.00500865,0.000529133,3.89444e-05,0.0028828,0.00722145,0.000838851,2.86129e-05,0.00199101,0.00722145,BOT,708L_0138 608L_PE7
506L,A047 506L,52A,0.000906643,0.00353788,0.00721876,0.00235161,0.000358524,0.00172606,0.00705957,0.00387226,0.00721876,LEFT,506L_A047 506L_52A
101L,0023 J111,30B,2.40166e-06,0.00136605,0.00714177,0.00184543,9.56453e-06,0.000943891,0.00365564,0.0006546,0.00714177,LEFT,101L_0023 J111_30B
201L,0023,J116,0.00190019,0.00408803,0.00703416,0.00494763,0.0026675,0.0032773,0.00396759,0.00257339,0.00703416,LEFT,201L_0023_J116
302L,0579 302L,51K,0.00289557,0.00608537,0.00697947,0.00184501,9.91888e-05,0.000274413,0.00244516,0.00289377,0.00697947,LEFT,302L_0579 302L_51K
205L,0054 106L,30C,0.00458339,0.00611197,0.00523561,0.00109525,0.000233956,0.00139541,0.00617023,0.00697641,0.00697641,TOP-RIGHT,205L_0054 106L_30C
503L,A001 503L,52A,0.000762201,0.00330319,0.00676883,0.00163548,0.000121283,0.00144762,0.00561354,0.00272833,0.00676883,LEFT,503L_A001 503L_52A
506L,506L 606L,52A,0.000145857,0.00022832,0.00431592,0.00669397,0.00185342,0.00545081,0.00376021,0.000290101,0.00669397,BOT-LEFT,506L_506L 606L_52A
105L,0054 J120,30B,1.87949e-06,0.000537688,0.00316263,0.000860818,1.05248e-05,0.00176902,0.00657075,0.00120755,0.00657075,RIGHT,105L_0054 J120_30B
504L,504L 604L,52A,0.00106827,0.00654389,0.0036216,0.000175869,0.000815338,0.00591757,0.00329465,0.000245554,0.00654389,TOP-LEFT,504L_504L 604L_52A
307L,0288 J361,24B,0.00197941,0.000812663,0.00035496,0.00130437,0.0045922,0.00647748,0.00513216,0.00304111,0.00647748,BOT-RIGHT,307L_0288 J361_24B
206L,0053,J117,0.00222686,0.00392075,0.00642785,0.00479569,0.00311852,0.00478258,0.00642241,0.003913,0.00642785,LEFT,206L_0053_J117
501L,0002,402L,0.000950301,0.00402938,0.0064169,0.00167735,0.00050654,0.00243494,0.00577992,0.00274068,0.0064169,LEFT,501L_0002_402L
504L,A040 504L,52A,0.000405697,0.00273012,0.00639154,0.00136872,8.82005e-05,0.00174966,0.00624377,0.00234633,0.00639154,LEFT,504L_A040 504L_52A
0105,J172 J114,14A,0.000553068,0.00534166,0.00638861,0.000264163,5.57801e-07,0.000207348,0.00450147,0.00408261,0.00638861,LEFT,0105_J172 J114_14A
307L,0288 J330,18A,9.94402e-06,0.00046524,0.00264531,0.000814527,3.42598e-05,0.00186635,0.00638621,0.00119471,0.00638621,RIGHT,307L_0288 J330_18A
504L,604L J598,24B,0.00133453,0.00633161,0.0028102,0.000149236,0.00109439,0.00580362,0.00257369,0.000206311,0.00633161,TOP-LEFT,504L_604L J598_24B
305L,205L 206L,24A,0.00406212,0.00533051,0.00518347,0.00145745,0.000505924,0.0020362,0.00617107,0.00627875,0.00627875,TOP-RIGHT,305L_205L 206L_24A
507L,607L J575,24B,0.00616208,0.00357245,0.000428145,0.000945834,0.00458463,0.00421149,0.000759604,0.00160023,0.00616208,TOP,507L_607L J575_24B
201L,0023 102L,30C,0.00310642,0.00375981,0.00318193,0.00077587,0.000180928,0.00124735,0.00605876,0.00583538,0.00605876,RIGHT,201L_0023 102L_30C
403L,0587 302L,24A,0.00109982,0.00433377,0.00597176,0.00184977,0.000355698,0.000300606,0.000505935,0.000560566,0.00597176,LEFT,403L_0587 302L_24A
205L,0054,J116,0.00166629,0.00228076,0.00364997,0.00327301,0.00276469,0.00452133,0.00588455,0.00344828,0.00588455,RIGHT,205L_0054_J116
206L,0326 J212,12A,0.000212707,0.00170569,0.00418955,0.000987471,7.44977e-05,0.00152019,0.00586012,0.00217534,0.00586012,RIGHT,206L_0326 J212_12A
506L,606L J567,24B,0.000204703,0.000156995,0.00266121,0.00560623,0.00232627,0.00450888,0.00227696,0.000215825,0.00560623,BOT-LEFT,506L_606L J567_24B
0114,0111 J103,14A,3.45821e-05,1.50017e-08,8.90007e-07,5.57654e-07,2.88207e-06,0.000974884,0.00553124,0.00216578,0.00553124,RIGHT,0114_0111 J103_14A
307L,0325 J203,24B,0.00196578,0.00259716,0.00385986,0.00330851,0.00290232,0.0044742,0.00547611,0.00343282,0.00547611,RIGHT,307L_0325 J203_24B
206L,0326 J216,24B,0.00296248,0.00458378,0.00538663,0.0045307,0.00299728,0.0019663,0.00162565,0.00189924,0.00538663,LEFT,206L_0326 J216_24B
504L,A040,403L,0.00115143,0.00358587,0.0053834,0.00189963,0.000610198,0.0014643,0.00288731,0.0017818,0.0053834,LEFT,504L_A040_403L
404L,304L 404L,51A,0.00282776,0.00335978,0.00342122,0.00191347,0.00144414,0.00298145,0.00535863,0.00438815,0.00535863,RIGHT,404L_304L 404L_51A
508L,608L J578,18A,0.00108843,0.0037547,0.00531812,0.000978133,0.000117298,0.000949371,0.00265787,0.00166017,0.00531812,LEFT,508L_608L J578_18A
507L,507L 607L,52A,0.00510427,0.00331764,0.000549111,0.000783047,0.00343106,0.00393457,0.0010211,0.00154669,0.00510427,TOP,507L_507L 607L_52A
505L,A068,406L,0.00108753,0.00163389,0.00235877,0.0012768,0.000500188,0.00143625,0.00490566,0.0035567,0.00490566,RIGHT,505L_A068_406L
0099,0103 J186,14A,0.000296464,0.00123254,0.00312607,0.000865465,6.56597e-05,0.00135834,0.00462246,0.0016329,0.00462246,RIGHT,0099_0103 J186_14A
407L,0125 J369,24B,0.00111899,0.00301585,0.00460973,0.00255808,0.00139877,0.00150503,0.00159307,0.00106406,0.00460973,LEFT,407L_0125 J369_24B
303L,0586 303L,51K,0.00130086,0.000696971,0.000680133,0.000639094,0.000947092,0.0027022,0.00460929,0.00328421,0.00460929,RIGHT,303L_0586 303L_51K
301L,401L J300,24B,0.00234631,0.000840283,0.000219183,8.95859e-05,0.000386832,0.00202828,0.00457975,0.00457249,0.00457975,RIGHT,301L_401L J300_24B
0124,0124 202L,24B,2.77451e-08,5.1672e-05,0.000173926,0.000100306,0.000874856,0.0045729,0.00410661,0.000341769,0.0045729,BOT-RIGHT,0124_0124 202L_24B
207L,0325 308L,24A,0.0032265,0.00451575,0.00355478,0.00133744,0.000681186,0.00118866,0.00239355,0.00283809,0.00451575,TOP-LEFT,207L_0325 308L_24A
303L,0586 J328,18A,2.20562e-05,0.000335303,0.00122487,0.000274687,1.42587e-05,0.00107614,0.0044402,0.00116048,0.0044402,RIGHT,303L_0586 J328_18A
503L,603L J502,18A,3.97262e-05,0.00126831,0.00442753,0.00138636,5.17821e-05,0.00017088,0.00050025,0.000188405,0.00442753,LEFT,503L_603L J502_18A
0113,0074 J134,14A,2.9193e-05,0.00175471,0.00436054,0.000646587,1.70875e-06,6.92521e-08,2.85464e-07,3.2248e-07,0.00436054,LEFT,0113_0074 J134_14A
306L,0290 407L,24A,0.00131974,0.000864647,0.000703404,0.000669334,0.000957292,0.00231628,0.00435738,0.00313606,0.00435738,RIGHT,306L_0290 407L_24A
208L,0039 107L,30C,0.00225084,0.00195439,0.00156067,0.000556189,0.000268054,0.00116806,0.004132,0.00434989,0.00434989,TOP-RIGHT,208L_0039 107L_30C
106L,0053 J122,30B,2.64027e-06,0.000953367,0.00393163,0.000695524,5.36494e-07,2.43469e-05,0.000149554,4.63582e-05,0.00393163,LEFT,106L_0053 J122_30B
